Open,High,Low,Close,Volume,TradingDate
82200.0,83000.0,77000.0,81800.0,2479400,2022-04-25
79000.0,80500.0,79000.0,80500.0,1912000,2022-04-26
79900.0,82000.0,78200.0,81500.0,1429800,2022-04-27
81500.0,81600.0,79500.0,81500.0,564100,2022-04-28
81400.0,82300.0,80000.0,80900.0,1259200,2022-04-29
80900.0,81000.0,79000.0,79900.0,892600,2022-05-04
80500.0,81500.0,79600.0,81000.0,1019300,2022-05-05
79700.0,81200.0,79400.0,79400.0,775900,2022-05-06
78800.0,80400.0,77800.0,77900.0,1674200,2022-05-09
77100.0,80000.0,77100.0,80000.0,926000,2022-05-10
80000.0,80300.0,79000.0,80000.0,931300,2022-05-11
79000.0,79900.0,77000.0,77000.0,972300,2022-05-12
77000.0,78000.0,73000.0,73000.0,1963600,2022-05-13
75500.0,76400.0,74000.0,74200.0,1558800,2022-05-16
74200.0,77000.0,73100.0,76000.0,2262300,2022-05-17
77000.0,77000.0,75000.0,75400.0,881000,2022-05-18
75000.0,76700.0,74800.0,76000.0,575800,2022-05-19
75100.0,76500.0,75000.0,75300.0,661800,2022-05-20
75600.0,75600.0,73600.0,74400.0,631600,2022-05-23
74900.0,75700.0,74300.0,75600.0,898700,2022-05-24
76000.0,77000.0,74800.0,77000.0,817000,2022-05-25
77000.0,77100.0,76000.0,76700.0,978900,2022-05-26
76700.0,77400.0,76300.0,77400.0,892000,2022-05-27
77400.0,81000.0,76400.0,78000.0,1327400,2022-05-30
78900.0,78900.0,78000.0,78900.0,483700,2022-05-31
79000.0,80500.0,79000.0,80500.0,798800,2022-06-01
80800.0,80800.0,79000.0,79000.0,641400,2022-06-02
78400.0,79500.0,76400.0,77500.0,527800,2022-06-03
77500.0,80000.0,75100.0,79700.0,880500,2022-06-06
79000.0,82000.0,78100.0,81000.0,933000,2022-06-07
81000.0,81000.0,78800.0,79200.0,1164700,2022-06-08
79000.0,79900.0,77700.0,77800.0,1067500,2022-06-09
77800.0,79000.0,77400.0,77700.0,390900,2022-06-10
77000.0,77000.0,74100.0,76400.0,1105800,2022-06-13
75500.0,78100.0,74000.0,77000.0,1066200,2022-06-14
77400.0,78300.0,75300.0,76500.0,1243600,2022-06-15
76700.0,80000.0,76500.0,79100.0,1209600,2022-06-16
77000.0,78300.0,76100.0,76100.0,1050600,2022-06-17
79500.0,79500.0,75300.0,76000.0,1089700,2022-06-20
76000.0,77700.0,75200.0,77700.0,937100,2022-06-21
77900.0,78000.0,75000.0,76000.0,1069200,2022-06-22
75100.0,76700.0,74900.0,75900.0,590200,2022-06-23
76200.0,76300.0,74600.0,75000.0,648600,2022-06-24
75500.0,76000.0,74800.0,74900.0,862500,2022-06-27
75000.0,77000.0,74800.0,76300.0,1095800,2022-06-28
75800.0,75900.0,75300.0,75500.0,847500,2022-06-29
75500.0,76000.0,74800.0,74800.0,678400,2022-06-30
74500.0,75000.0,72900.0,74000.0,1383000,2022-07-01
74900.0,75200.0,73900.0,74100.0,746200,2022-07-04
74900.0,74900.0,73600.0,74000.0,1064500,2022-07-05
73700.0,73900.0,68900.0,72800.0,1548200,2022-07-06
72700.0,75500.0,71700.0,75500.0,1258400,2022-07-07
74900.0,75000.0,73900.0,74000.0,761000,2022-07-08
73300.0,73500.0,72000.0,72000.0,660800,2022-07-11
72100.0,72600.0,71700.0,71900.0,811500,2022-07-12
71800.0,73400.0,71400.0,71800.0,1379900,2022-07-13
71800.0,72800.0,71600.0,72400.0,329400,2022-07-14
72100.0,73500.0,72100.0,72300.0,597500,2022-07-15
72500.0,72900.0,72000.0,72000.0,391400,2022-07-18
72000.0,72100.0,71100.0,71300.0,812100,2022-07-19
71600.0,72500.0,71600.0,72500.0,544900,2022-07-20
72500.0,72900.0,72100.0,72500.0,1164600,2022-07-21
72100.0,72700.0,72000.0,72500.0,1009600,2022-07-22
72400.0,73200.0,72000.0,72900.0,962700,2022-07-25
73200.0,74400.0,73200.0,73900.0,1119800,2022-07-26
74000.0,75000.0,73700.0,75000.0,1259900,2022-07-27
75400.0,75600.0,74800.0,75300.0,1164800,2022-07-28
75400.0,75500.0,74700.0,74700.0,1176000,2022-07-29
